name,stars,age_in_years,releases,primary_language,repo_url,dit,loc,cbo:mean,cbo:median,cbo:std,lcom*:mean,lcom*:median,lcom*:std,processed
alibaba/ARouter,14438,7.74,16,Java,https://github.com/alibaba/ARouter,4.0,3165.0,3.704081632653061,2.0,4.940893878628312,0.1920977977894737,0.0,0.32815738804404154,True
Tencent/QMUI_Android,14413,7.39,35,Java,https://github.com/Tencent/QMUI_Android,16.0,58309.0,5.227954971857411,3.0,6.449224900839808,0.21690215312796207,0.0,0.3402200359723151,True
gyoogle/tech-interview-for-developer,14342,5.25,0,Java,https://github.com/gyoogle/tech-interview-for-developer,1.0,636.0,1.3076923076923077,1.0,0.7216024245882199,0.14175824538461537,0.0,0.21567845868003552,True
eclipse-vertx/vert.x,14240,13.24,0,Java,https://github.com/eclipse-vertx/vert.x,12.0,140898.0,6.194614443084455,3.0,8.80671382809031,0.23856094095120445,0.0,0.3468371672577991,True
elastic/logstash,14169,13.82,154,Java,https://github.com/elastic/logstash,52.0,37459.0,5.418633540372671,4.0,5.854331145728262,0.3556689555068836,0.16666667,0.38679037492930013,True
arduino/Arduino,14111,13.99,37,Java,https://github.com/arduino/Arduino,13.0,25793.0,3.851111111111111,2.0,5.711396880009974,0.23737945285044645,0.0,0.3318219062151748,True
apache/pulsar,14103,8.2,90,Java,https://github.com/apache/pulsar,158.0,485332.0,6.789391796322489,4.0,9.936911347423415,0.23071089123750754,0.0,0.334577350539675,True
java-decompiler/jd-gui,13915,9.47,18,Java,https://github.com/java-decompiler/jd-gui,15.0,19309.0,4.538083538083538,3.0,5.423843914942632,0.2432245298320988,0.0,0.32336478990048084,True
orhanobut/logger,13814,9.48,16,Java,https://github.com/orhanobut/logger,2.0,827.0,5.833333333333333,6.0,2.967415635794143,0.3125860744444445,0.125,0.36077439457440125,True
deeplearning4j/deeplearning4j,13603,10.79,0,Java,https://github.com/deeplearning4j/deeplearning4j,1464.0,551209.0,8.417315864022664,7.0,9.225413178795483,0.2554982192516222,0.0,0.34650927953839405,True
